,id,sex,age,stature,order,bodyweight,condition,trial,imp_mom_height,ft_height
1,1,m,18,190,shakey_no_shakey,73.3,shakey,1,37.3,36.1
2,1,m,18,190,shakey_no_shakey,73.3,shakey,2,31.6,32
3,1,m,18,190,shakey_no_shakey,73.3,shakey,3,40.3,40.2
4,1,m,18,190,shakey_no_shakey,73.3,shakey,4,38.4,37.5
5,1,m,18,190,shakey_no_shakey,73.3,shakey,5,40.8,40.5
6,1,m,18,190,shakey_no_shakey,73.3,shakey,6,42,42.8
7,1,m,18,190,shakey_no_shakey,73.3,shakey,7,38.7,39.7
8,1,m,18,190,shakey_no_shakey,73.3,shakey,8,40.9,40.1
9,1,m,18,190,shakey_no_shakey,73.3,shakey,9,41.2,41.2
10,1,m,18,190,shakey_no_shakey,73.3,shakey,10,42.1,45.3
11,1,m,18,190,shakey_no_shakey,74.2,noshakey,1,39.6,38.4
12,1,m,18,190,shakey_no_shakey,74.2,noshakey,2,39.4,39.3
13,1,m,18,190,shakey_no_shakey,74.2,noshakey,3,38.6,38
14,1,m,18,190,shakey_no_shakey,74.2,noshakey,4,40.1,40.4
15,1,m,18,190,shakey_no_shakey,74.2,noshakey,5,40.5,40.5
16,1,m,18,190,shakey_no_shakey,74.2,noshakey,6,38.5,40.2
17,1,m,18,190,shakey_no_shakey,74.2,noshakey,7,39.3,37.9
18,1,m,18,190,shakey_no_shakey,74.2,noshakey,8,40.8,41.2
19,1,m,18,190,shakey_no_shakey,74.2,noshakey,9,38.2,38.9
20,1,m,18,190,shakey_no_shakey,74.2,noshakey,10,43.1,40.7
21,2,m,20,177,no_shakey_shakey,80.1,shakey,1,30.6,30.6
22,2,m,20,177,no_shakey_shakey,80.1,shakey,2,31.6,31
23,2,m,20,177,no_shakey_shakey,80.1,shakey,3,33.5,32.9
24,2,m,20,177,no_shakey_shakey,80.1,shakey,4,34.4,34.3
25,2,m,20,177,no_shakey_shakey,80.1,shakey,5,34.1,33.4
26,2,m,20,177,no_shakey_shakey,80.1,shakey,6,34.5,33.7
27,2,m,20,177,no_shakey_shakey,80.1,shakey,7,35.1,35.1
28,2,m,20,177,no_shakey_shakey,80.1,shakey,8,32.7,32.4
29,2,m,20,177,no_shakey_shakey,80.1,shakey,9,36.1,36.4
30,2,m,20,177,no_shakey_shakey,80.1,shakey,10,35.3,34.7
31,2,m,20,177,no_shakey_shakey,80.2,noshakey,1,33.2,32.8
32,2,m,20,177,no_shakey_shakey,80.2,noshakey,2,31.2,32
33,2,m,20,177,no_shakey_shakey,80.2,noshakey,3,33.9,34
34,2,m,20,177,no_shakey_shakey,80.2,noshakey,4,33.2,34.4
35,2,m,20,177,no_shakey_shakey,80.2,noshakey,5,34.2,34.8
36,2,m,20,177,no_shakey_shakey,80.2,noshakey,6,32.1,32.5
37,2,m,20,177,no_shakey_shakey,80.2,noshakey,7,32.9,35.2
38,2,m,20,177,no_shakey_shakey,80.2,noshakey,8,35.4,35
39,2,m,20,177,no_shakey_shakey,80.2,noshakey,9,33.9,34.6
40,2,m,20,177,no_shakey_shakey,80.2,noshakey,10,33.7,34.2
41,3,f,19,169,shakey_no_shakey,67.2,shakey,1,14.5,19.2
42,3,f,19,169,shakey_no_shakey,67.2,shakey,2,14.5,18.6
43,3,f,19,169,shakey_no_shakey,67.2,shakey,3,12.9,18
44,3,f,19,169,shakey_no_shakey,67.2,shakey,4,16.3,18.4
45,3,f,19,169,shakey_no_shakey,67.2,shakey,5,16.1,21.3
46,3,f,19,169,shakey_no_shakey,67.2,shakey,6,15.3,17.7
47,3,f,19,169,shakey_no_shakey,67.2,shakey,7,16.1,21
48,3,f,19,169,shakey_no_shakey,67.2,shakey,8,15.9,21.4
49,3,f,19,169,shakey_no_shakey,67.2,shakey,9,16.1,22.1
50,3,f,19,169,shakey_no_shakey,67.2,shakey,10,15.8,19.74444444
51,3,f,19,169,shakey_no_shakey,65.5,noshakey,1,16.4,18.8
52,3,f,19,169,shakey_no_shakey,65.5,noshakey,2,15.2,17.9
53,3,f,19,169,shakey_no_shakey,65.5,noshakey,3,14.5,16.3
54,3,f,19,169,shakey_no_shakey,65.5,noshakey,4,15.9,18.2
55,3,f,19,169,shakey_no_shakey,65.5,noshakey,5,15.7,16.5
56,3,f,19,169,shakey_no_shakey,65.5,noshakey,6,15.4,17.3
57,3,f,19,169,shakey_no_shakey,65.5,noshakey,7,12.7,13.9
58,3,f,19,169,shakey_no_shakey,65.5,noshakey,8,14,15.5
59,3,f,19,169,shakey_no_shakey,65.5,noshakey,9,15.2,16.3
60,3,f,19,169,shakey_no_shakey,65.5,noshakey,10,15.8,20
61,4,m,18,176,no_shakey_shakey,67.1,shakey,1,33.9,34.6
62,4,m,18,176,no_shakey_shakey,67.1,shakey,2,39.4,37.2
63,4,m,18,176,no_shakey_shakey,67.1,shakey,3,33.4,36.5
64,4,m,18,176,no_shakey_shakey,67.1,shakey,4,37.4,37.6
65,4,m,18,176,no_shakey_shakey,67.1,shakey,5,38.7,39.7
66,4,m,18,176,no_shakey_shakey,67.1,shakey,6,39.1,37.8
67,4,m,18,176,no_shakey_shakey,67.1,shakey,7,36.5,33.9
68,4,m,18,176,no_shakey_shakey,67.1,shakey,8,35.7,37.5
69,4,m,18,176,no_shakey_shakey,67.1,shakey,9,34.8,32.9
70,4,m,18,176,no_shakey_shakey,67.1,shakey,10,38.3,38.9
71,4,m,18,176,no_shakey_shakey,66,noshakey,1,33.8,32.8
72,4,m,18,176,no_shakey_shakey,66,noshakey,2,35.1,33.5
73,4,m,18,176,no_shakey_shakey,66,noshakey,3,33,31.9
